accuracy,loss,val_accuracy,val_loss,learning_rate
0.31325823068618774,1.447115182876587,0.3645833432674408,1.3794292211532593,9.999999747378752e-05
0.40424609184265137,1.2957661151885986,0.4253472089767456,1.295559287071228,9.999999747378752e-05
0.488301545381546,1.1987792253494263,0.5277777910232544,1.1681370735168457,9.999999747378752e-05
0.5242634415626526,1.1295661926269531,0.5920138955116272,1.0776989459991455,9.999999747378752e-05
0.5628249645233154,1.0683541297912598,0.6284722089767456,1.014274001121521,9.999999747378752e-05
0.5827556252479553,1.0179834365844727,0.6579861044883728,0.9506797790527344,9.999999747378752e-05
0.6091854572296143,0.9838550090789795,0.6805555820465088,0.9041059017181396,9.999999747378752e-05
0.6213171482086182,0.9432410001754761,0.6892361044883728,0.8585110306739807,9.999999747378752e-05
0.6438474655151367,0.9124331474304199,0.7065972089767456,0.8349313139915466,9.999999747378752e-05
0.6486135125160217,0.8957383036613464,0.7204861044883728,0.8083769679069519,9.999999747378752e-05
0.6468803882598877,0.8873596787452698,0.7395833134651184,0.7715420126914978,9.999999747378752e-05
0.6711438298225403,0.8506208658218384,0.7534722089767456,0.7409220337867737,9.999999747378752e-05
0.667677640914917,0.8396096229553223,0.7569444179534912,0.7261645197868347,9.999999747378752e-05
0.6863085031509399,0.8189095854759216,0.7725694179534912,0.6975112557411194,9.999999747378752e-05
0.6841421127319336,0.8113489151000977,0.7725694179534912,0.690680980682373,9.999999747378752e-05
0.6980069279670715,0.7964491248130798,0.7760416865348816,0.6796509623527527,9.999999747378752e-05
0.7032062411308289,0.7881720662117004,0.7864583134651184,0.6461239457130432,9.999999747378752e-05
0.7110052108764648,0.768862783908844,0.7864583134651184,0.6429834961891174,9.999999747378752e-05
0.7166377902030945,0.7693321704864502,0.7916666865348816,0.6295629739761353,9.999999747378752e-05
0.7157712578773499,0.7475361824035645,0.8003472089767456,0.6114339828491211,9.999999747378752e-05
